class_name,warning,alt_name
Oriental Poppy,It is toxic toward cats and dogs!,"None"
Ornamental Cherry,It is toxic toward cats and dogs!,"Cherry Blossom"
Ornithogalum,It is toxic toward cats and dogs!,"Orange Star"
Osteospermum,It has no toxic effects toward cats nor dogs!,"African Daisy"
Oxalis,It is toxic toward cats and dogs!,"Shamrock"
Oxeye Daisy,It is toxic toward cats, dogs, and even you!,"None"
Oyster Plant,It is toxic toward cats, dogs, and even you!,"Moses in the Cradle"
Painted Daisy,It is toxic toward cats, dogs, and even you!,"None"
Pansy,It has no toxic effects toward cats nor dogs!,"None"
Parodia,It is generally known to have no toxic effects toward cats nor dogs!,"None"
Passion Flower,It has no toxic effects toward cats nor dogs!,"None"
Peace Lily,It is toxic toward cats and dogs!,"Mauna Loa Peace Lily"
Pelargonium,It is toxic toward cats and dogs!,"Geranium"
Penstemon,It could be toxic toward cats and dogs!,"Foxglove Beardtongue"
Peony,It is toxic toward cats and dogs!,"None"
Periwinkle,It is extremely toxic toward cats and dogs!,"Running Myrtle, Vinca"
Persian Buttercup,It is toxic toward cats and dogs!,"Buttercup"
Petunia,It has no toxic effects toward cats nor dogs!,"None"
Phlox,It has no toxic effects toward cats nor dogs!,"Moss Phlox"
Photinia,It is generally known not to have any toxic effects on cats nor dogs. Save for a few mild rashes.,"Red Robin"
Physostegia,It is generally known not to have any toxic effects toward cats nor dogs!,"Obedient Plant"
Pincushion Flower,It has no toxic effects toward cats nor dogs!,"None"
Pinks,It is toxic toward cats and dogs!,"Carnation, Wild Carnation, Sweet William"
Poinsettia,It is toxic toward cats and dogs!,"None"
Polyanthus,No clear information...,"Primula"
Poppy,It is toxic toward cats and dogs!,"None"
Potentilla,It is generally known not to have any toxic effects toward cats nor dogs!,"Cinquefoil"
Powder Puff,It is generally known not to have any toxic effects toward cats nor dogs!,"None"
Quaker Ladies,It is generally known not to have any toxic effects toward cats nor dogs!,"None"
Queencup,It has no toxic effects toward cats nor dogs!,"Bride's Bonnet"
Queen of the Meadow,No clear information,"Meadowsweet"
Quince,It is toxic toward dogs!,"None"
Rain Lily,It is extremely toxic toward cats and dogs!,"Prairie Lily"
Rock Rose,No clear information...,"None"
Rondeletia,No clear information...,"None"
Rose of Sharon,It has no toxic effects toward cats nor dogs!,"Hibiscus, Rose of China"
Roses,It has no toxic effects toward cats nor dogs!,"None"
Sage,It has no toxic effects toward cats nor dogs!,"Common Sage, Garden Sage"
St. John's Wort,It is toxic toward cats and dogs!,"Klamath Weed"
Scaevola,It has no toxic effects toward cats nor dogs!,"Fan Flower"
Scented Geranium,It is toxic toward cats and dogs!,"Geraniums"
Scilla,It is toxic toward cats and dogs!,"Squill"
Sedum,It has no toxic effect toward cats nor dogs!,"Stonecrop"
Shasta Daisy,It is toxic toward cats and dogs!,"None"
Silene,No clear information...,"None"
Snapdragon,It has no toxic effects toward cats nor dogs!,"Common Snapdragon"
Snowdrop,It is toxic toward cats and dogs!,"None"
Snowflake,It is toxic toward cats and dogs!,"None"
Soapwort,It is toxic toward cats and dogs!,"None"
Speedwell,It is generally known not to have any toxic effects toward cats nor dogs!,"Common Speedwell"
Starflower,It is toxic toward cats, dogs, and even you!,"Star of Bethlehem"
Statice,It has no toxic effects toward cats nor dogs!,"None"
Sunflower,It has no toxic effects toward cats nor dogs!,"Swamp Sunflower"
Sweet Pea,It has no toxic effects toward cats nor dogs. However, it is for horses!,"Perennial Pea, Everlasting Pea"
Tea Rose,It has no toxic effects toward cats nor dogs!,"None"
Tiger Flower,It is said that it has no toxic effects toward cats nor dogs!,"None"
Tithonia,It has no toxic effects toward cats nor dogs!,"Mexican Sunflower"
Tobacco Plant,It is toxic toward cats and dogs!,"Tree Tobacco, Nicotiana, Mustard Tree"
Trachelium,It has no toxic effects toward cats nor dogs!,"Blue Throatwort"
Trillium,It is toxic toward cats, dogs, and even you!,"None"
Triteleia,It has no toxic effects toward cats nor dogs!,"None"
Tritonia Crocata,No clear information...,"Bulbs"
Trollius,It is mildly toxic toward cats and dogs!,"Globe Flower"
Trumpet Vine,It is midly toxic toward cats and dogs!,"None"
Tuberose,It is extremely toxic toward cats, dogs, and even you!,"None"
Tulip,It is toxic toward cats and dogs!,"None"
Urn Plant,It has no toxic effects toward cats nor dogs!,"None"
Ursinia,No clear information...,"None"
Uva Ursi,It is toxic toward cats and dogs!,"Bearberry"
Valerian,It is used in medicine for cats and dogs. Use with moderation!,"Valerian Root"
Verbena,It is known to be toxic toward cats and dogs!,"None"
Viburnum,It is mildly toxic toward cats and dogs!,"None"
Viola,It is known not to have any toxic effects toward cats nor dogs!,"None"
Virginia Creeper,It is midly toxic toward cats, dogs, and even you!,"None"
Wallflower,It is toxic toward cats and dogs!,"None"
Wandflower,It is known to be toxic toward dogs!,"None"
Waterlilies,It is known to be toxic toward dogs. However, not so much toward cats!,"Water Lily"
Watsonia,No clear information...,"None"
Wax Plant,It has no toxic effects toward cats nor dogs!,"Hindu Rope Plant, Percelain Flower"
Wedelia,It is known to not have any toxic effects toward cats nor dogs!,"None"
Weigela,It has no toxic effects toward cats nor dogs!,"None"
Whirling Butterflies,It is known to not have any toxic effects toward cats nor dogs!,"Beeblossom"
Winter Jasmine,It is generally known not to have any toxic effects toward cats nor dogs!,"None"
Winterberry,It is toxic toward cats and dogs!,"English Holly, European Holly, Oregon Holly, Inkberry, American Holly"
Wishbone Flower,It has no toxic effects toward cats nor dogs!,"None"
Woolly Violet,It has no toxic effects toward cats nor dogs!,"None"
Xanthoceras sorbifolium,No clear information...,"Yellowhorn, Goldenhorn, Chinese Flowering Chestnut"
Xerophyllum,It is toxic toward cats and dogs!,"Bear Grass"
Xylobium,No clear information...,"None"
Xylosma,It has no toxic effects toward cats nor dogs!,"None"
Yarrow,It is toxic toward cats and dogs!,"Milfoil, Soilder's Woundwort, Dog Daisy Thousand Seal, Devil's Nettle, Old Man's Pepper"
Yellow-eyed Grass,No clear information...,"None"
Yellow Archangel,No clear information...,"None"
Yellow Bell,It is known not to have toxic effects toward dogs!,"None"
Zenobia,No clear information...,"None"
Zinnia,It has no toxic effects toward cats nor dogs!,"None"
